-0.326354	0.831797	0.463237
-0.649126	0.820566	-0.711576
0.236888	0.608872	0.901271
0.474772	0.879255	0.200514
-0.410979	0.792919	-0.516688
0.226016	-0.461887	-0.438453
-0.991985	-0.052736	-0.167966
0.264665	-0.384241	0.774052
0.846547	-0.689311	0.594319
-0.035209	-0.656751	-0.587198
0.301424	0.607314	-0.363530
-0.083975	-0.641947	0.818193
0.242023	0.596386	0.541150
-0.652813	0.393346	-0.767599
0.731906	-0.478750	0.864045
-0.138498	-0.134633	-0.050980
0.829353	0.305167	-0.781741
0.534725	0.667077	-0.485655
-0.061366	-0.215550	-0.684746
-0.124051	0.448563	0.128169
0.691363	0.264242	-0.647908
-0.134361	0.193507	0.303233
-0.443463	-0.080530	-0.112022
0.040688	-0.531250	-0.259807
0.736241	-0.931948	-0.289789
0.956061	0.666088	-0.031966
-0.246608	0.529236	0.727198
-0.480774	-0.635898	-0.172177
0.722161	0.529618	-0.388690
0.278151	-0.903692	0.486523
-0.818306	-0.129262	0.710133
-0.087124	0.779406	-0.338503
-0.733654	0.615728	0.163381
-0.284683	0.948671	-0.312407
-0.050321	0.693257	-0.413011
0.544475	-0.607625	0.392739
-0.647100	0.207058	-0.017484
0.962069	-0.457704	-0.137879
-0.010789	0.738719	0.605647
-0.143074	0.016218	-0.502474
0.359744	0.200565	-0.950638
-0.906631	-0.704082	0.334444
0.618228	0.731439	0.835096
0.631804	0.922107	-0.215653
-0.352870	0.895774	0.518520
0.186665	0.487386	0.477594
-0.849598	0.854285	0.186487
0.983313	-0.857472	-0.986967
-0.281082	0.538683	0.753872
-0.057064	-0.514942	-0.885302
0.357799	-0.389873	0.681662
-0.609486	0.788945	-0.212310
0.827693	-0.082452	-0.234975
0.102070	-0.552248	0.103431
0.798452	0.853702	-0.411653
-0.976030	-0.506905	0.860926
-0.765348	-0.501326	0.497149
0.433268	-0.257376	-0.264461
-0.800457	0.195156	-0.256487
0.423502	-0.641704	0.993941
0.275952	-0.949803	0.735803
-0.878113	0.960328	0.947086
-0.346223	0.635765	0.859781
-0.941574	-0.226804	0.525917
-0.669003	0.834454	0.081033
0.454389	0.039030	0.304591
0.813826	-0.039243	0.445059
0.636193	0.102249	-0.781386
